ID;Date octroi;Nom;Prénom;Principal FC;Taux;Durée;Intérêt FC;Total FC;Remboursé FC;Solde FC;Échéance;Statut
410;2025-07-01;Mukendi0;Jean0;129347.0;10.0%;15 mois;16168.0;145515.0;34922.0;110593.0;2027-06-01;actif
233;2025-07-01;Mukendi1;Jean1;563200.0;10.0%;11 mois;51626.0;614826.0;292316.0;322510.0;2026-01-15;en_retard
447;2025-07-01;Mukendi1;Jean1;65149.0;10.0%;8 mois;4343.0;69492.0;5841.0;63651.0;2027-06-01;actif
1;2025-07-01;Mukendi2;Jean2;420372.0;10.0%;16 mois;56049.0;476421.0;130966.0;345455.0;2026-01-15;en_retard
72;2025-07-01;Mukendi2;Jean2;138066.0;10.0%;18 mois;20709.0;158775.0;78146.0;80629.0;2026-01-15;en_retard
166;2025-07-01;Mukendi2;Jean2;189665.0;10.0%;15 mois;23708.0;213373.0;86556.0;126817.0;2026-01-15;en_retard
61;2025-07-01;Mukendi3;Jean3;305771.0;10.0%;10 mois;25480.0;331251.0;100872.0;230379.0;2026-01-15;en_retard
390;2025-07-01;Mukendi3;Jean3;912451.0;10.0%;6 mois;45622.0;958073.0;275389.0;682684.0;2027-06-01;actif
482;2025-07-01;Mukendi3;Jean3;1580958.0;10.0%;16 mois;210794.0;1791752.0;771939.0;1019813.0;2027-06-01;actif
163;2025-07-01;Mukendi4;Jean4;839801.0;10.0%;4 mois;27993.0;867794.0;133932.0;733862.0;2026-01-15;en_retard
168;2025-07-01;Mukendi4;Jean4;663407.0;10.0%;15 mois;82925.0;746332.0;121198.0;625134.0;2026-01-15;en_retard
344;2025-07-01;Mukendi4;Jean4;351981.0;10.0%;18 mois;52797.0;404778.0;172471.0;232307.0;2027-06-01;actif
426;2025-07-01;Mukendi4;Jean4;127684.0;10.0%;13 mois;13832.0;141516.0;7347.0;134169.0;2027-06-01;actif
431;2025-07-01;Mukendi4;Jean4;1038219.0;10.0%;4 mois;34607.0;1072826.0;254471.0;818355.0;2027-06-01;actif
8;2025-07-01;Mukendi5;Jean5;913525.0;10.0%;6 mois;45676.0;959201.0;184072.0;775129.0;2026-01-15;en_retard
122;2025-07-01;Mukendi5;Jean5;1668001.0;10.0%;11 mois;152900.0;1820901.0;580557.0;1240344.0;2026-01-15;en_retard
172;2025-07-01;Mukendi5;Jean5;133366.0;10.0%;10 mois;11113.0;144479.0;69391.0;75088.0;2026-01-15;en_retard
152;2025-07-01;Mukendi6;Jean6;1664138.0;10.0%;12 mois;166413.0;1830551.0;177477.0;1653074.0;2026-01-15;en_retard
254;2025-07-01;Mukendi6;Jean6;1024935.0;10.0%;6 mois;51246.0;1076181.0;217402.0;858779.0;2026-01-15;en_retard
365;2025-07-01;Mukendi6;Jean6;651496.0;10.0%;18 mois;97724.0;749220.0;43259.0;705961.0;2027-06-01;actif
423;2025-07-01;Mukendi6;Jean6;1559402.0;10.0%;10 mois;129950.0;1689352.0;512997.0;1176355.0;2027-06-01;actif
189;2025-07-01;Mukendi7;Jean7;1655233.0;10.0%;13 mois;179316.0;1834549.0;434152.0;1400397.0;2026-01-15;en_retard
464;2025-07-01;Mukendi7;Jean7;1067247.0;10.0%;6 mois;53362.0;1120609.0;74301.0;1046308.0;2027-06-01;actif
29;2025-07-01;Mukendi8;Jean8;1441563.0;10.0%;14 mois;168182.0;1609745.0;340998.0;1268747.0;2026-01-15;en_retard
57;2025-07-01;Mukendi8;Jean8;742581.0;10.0%;5 mois;30940.0;773521.0;76592.0;696929.0;2026-01-15;en_retard
96;2025-07-01;Mukendi8;Jean8;1247499.0;10.0%;15 mois;155937.0;1403436.0;689880.0;713556.0;2026-01-15;en_retard
119;2025-07-01;Mukendi8;Jean8;646602.0;10.0%;3 mois;16165.0;662767.0;271376.0;391391.0;2026-01-15;en_retard
274;2025-07-01;Mukendi8;Jean8;619371.0;10.0%;16 mois;82582.0;701953.0;45507.0;656446.0;2026-01-15;en_retard
372;2025-07-01;Mukendi8;Jean8;769004.0;10.0%;5 mois;32041.0;801045.0;76058.0;724987.0;2027-06-01;actif
475;2025-07-01;Mukendi8;Jean8;1501670.0;10.0%;4 mois;50055.0;1551725.0;294234.0;1257491.0;2027-06-01;actif
497;2025-07-01;Mukendi8;Jean8;671994.0;10.0%;16 mois;89599.0;761593.0;141447.0;620146.0;2027-06-01;actif
124;2025-07-01;Mukendi9;Jean9;1015465.0;10.0%;14 mois;118470.0;1133935.0;163690.0;970245.0;2026-01-15;en_retard
430;2025-07-01;Mukendi9;Jean9;1592370.0;10.0%;7 mois;92888.0;1685258.0;512643.0;1172615.0;2027-06-01;actif
136;2025-07-01;Mukendi10;Jean10;719655.0;10.0%;7 mois;41979.0;761634.0;171353.0;590281.0;2026-01-15;en_retard
460;2025-07-01;Mukendi11;Jean11;163304.0;10.0%;14 mois;19052.0;182356.0;37363.0;144993.0;2027-06-01;actif
138;2025-07-01;Mukendi12;Jean12;1462715.0;10.0%;15 mois;182839.0;1645554.0;467262.0;1178292.0;2026-01-15;en_retard
300;2025-07-01;Mukendi12;Jean12;272144.0;10.0%;15 mois;34018.0;306162.0;14103.0;292059.0;2026-01-15;en_retard
433;2025-07-01;Mukendi12;Jean12;1947214.0;10.0%;12 mois;194721.0;2141935.0;204036.0;1937899.0;2027-06-01;actif
226;2025-07-01;Mukendi13;Jean13;929926.0;10.0%;12 mois;92992.0;1022918.0;162276.0;860642.0;2026-01-15;en_retard
335;2025-07-01;Mukendi13;Jean13;51768.0;10.0%;14 mois;6039.0;57807.0;3594.0;54213.0;2027-06-01;actif
359;2025-07-01;Mukendi13;Jean13;1944955.0;10.0%;13 mois;210703.0;2155658.0;22614.0;2133044.0;2027-06-01;actif
58;2025-07-01;Mukendi14;Jean14;608898.0;10.0%;15 mois;76112.0;685010.0;37426.0;647584.0;2026-01-15;en_retard
132;2025-07-01;Mukendi14;Jean14;1983304.0;10.0%;13 mois;214857.0;2198161.0;729662.0;1468499.0;2026-01-15;en_retard
235;2025-07-01;Mukendi14;Jean14;1420020.0;10.0%;14 mois;165669.0;1585689.0;38504.0;1547185.0;2026-01-15;en_retard
75;2025-07-01;Mukendi15;Jean15;175357.0;10.0%;14 mois;20458.0;195815.0;84485.0;111330.0;2026-01-15;en_retard
363;2025-07-01;Mukendi15;Jean15;1369737.0;10.0%;18 mois;205460.0;1575197.0;606224.0;968973.0;2027-06-01;actif
401;2025-07-01;Mukendi15;Jean15;852787.0;10.0%;15 mois;106598.0;959385.0;174406.0;784979.0;2027-06-01;actif
402;2025-07-01;Mukendi15;Jean15;591565.0;10.0%;11 mois;54226.0;645791.0;93286.0;552505.0;2027-06-01;actif
89;2025-07-01;Mukendi16;Jean16;1430532.0;10.0%;15 mois;178816.0;1609348.0;199092.0;1410256.0;2026-01-15;en_retard
435;2025-07-01;Mukendi16;Jean16;1765051.0;10.0%;6 mois;88252.0;1853303.0;119726.0;1733577.0;2027-06-01;actif
187;2025-07-01;Mukendi17;Jean17;1218827.0;10.0%;6 mois;60941.0;1279768.0;193079.0;1086689.0;2026-01-15;en_retard
243;2025-07-01;Mukendi17;Jean17;1640568.0;10.0%;16 mois;218742.0;1859310.0;884274.0;975036.0;2026-01-15;en_retard
258;2025-07-01;Mukendi17;Jean17;695445.0;10.0%;12 mois;69544.0;764989.0;265651.0;499338.0;2026-01-15;en_retard
496;2025-07-01;Mukendi18;Jean18;857150.0;10.0%;13 mois;92857.0;950007.0;278355.0;671652.0;2027-06-01;actif
398;2025-07-01;Mukendi19;Jean19;1389619.0;10.0%;17 mois;196862.0;1586481.0;289809.0;1296672.0;2027-06-01;actif
14;2025-07-01;Mukendi20;Jean20;389737.0;10.0%;13 mois;42221.0;431958.0;59825.0;372133.0;2026-01-15;en_retard
21;2025-07-01;Mukendi20;Jean20;491600.0;10.0%;8 mois;32773.0;524373.0;208166.0;316207.0;2026-01-15;en_retard
195;2025-07-01;Mukendi20;Jean20;1493136.0;10.0%;18 mois;223970.0;1717106.0;140600.0;1576506.0;2026-01-15;en_retard
156;2025-07-01;Mukendi21;Jean21;285660.0;10.0%;4 mois;9522.0;295182.0;63713.0;231469.0;2026-01-15;en_retard
238;2025-07-01;Mukendi22;Jean22;152826.0;10.0%;6 mois;7641.0;160467.0;54651.0;105816.0;2026-01-15;en_retard
301;2025-07-01;Mukendi22;Jean22;944363.0;10.0%;15 mois;118045.0;1062408.0;187677.0;874731.0;2027-06-01;actif
453;2025-07-01;Mukendi22;Jean22;1365316.0;10.0%;12 mois;136531.0;1501847.0;364750.0;1137097.0;2027-06-01;actif
54;2025-07-01;Mukendi23;Jean23;366006.0;10.0%;3 mois;9150.0;375156.0;129388.0;245768.0;2026-01-15;en_retard
127;2025-07-01;Mukendi23;Jean23;1246398.0;10.0%;15 mois;155799.0;1402197.0;596707.0;805490.0;2026-01-15;en_retard
394;2025-07-01;Mukendi23;Jean23;169290.0;10.0%;9 mois;12696.0;181986.0;78562.0;103424.0;2027-06-01;actif
417;2025-07-01;Mukendi23;Jean23;816205.0;10.0%;13 mois;88422.0;904627.0;42182.0;862445.0;2027-06-01;actif
6;2025-07-01;Mukendi24;Jean24;993413.0;10.0%;13 mois;107619.0;1101032.0;272387.0;828645.0;2026-01-15;en_retard
93;2025-07-01;Mukendi24;Jean24;1147231.0;10.0%;5 mois;47801.0;1195032.0;45903.0;1149129.0;2026-01-15;en_retard
105;2025-07-01;Mukendi24;Jean24;262284.0;10.0%;10 mois;21857.0;284141.0;139371.0;144770.0;2026-01-15;en_retard
4;2025-07-01;Mukendi25;Jean25;1498174.0;10.0%;8 mois;99878.0;1598052.0;62952.0;1535100.0;2026-01-15;en_retard
386;2025-07-01;Mukendi25;Jean25;585495.0;10.0%;15 mois;73186.0;658681.0;241753.0;416928.0;2027-06-01;actif
445;2025-07-01;Mukendi25;Jean25;1708956.0;10.0%;15 mois;213619.0;1922575.0;815437.0;1107138.0;2027-06-01;actif
22;2025-07-01;Mukendi26;Jean26;250390.0;10.0%;5 mois;10432.0;260822.0;122787.0;138035.0;2026-01-15;en_retard
52;2025-07-01;Mukendi26;Jean26;641637.0;10.0%;11 mois;58816.0;700453.0;65556.0;634897.0;2026-01-15;en_retard
391;2025-07-01;Mukendi26;Jean26;1487596.0;10.0%;17 mois;210742.0;1698338.0;368591.0;1329747.0;2027-06-01;actif
407;2025-07-01;Mukendi26;Jean26;123108.0;10.0%;5 mois;5129.0;128237.0;4614.0;123623.0;2027-06-01;actif
95;2025-07-01;Mukendi27;Jean27;1067895.0;10.0%;9 mois;80092.0;1147987.0;103550.0;1044437.0;2026-01-15;en_retard
207;2025-07-01;Mukendi27;Jean27;997093.0;10.0%;17 mois;141254.0;1138347.0;44476.0;1093871.0;2026-01-15;en_retard
314;2025-07-01;Mukendi27;Jean27;733398.0;10.0%;5 mois;30558.0;763956.0;158396.0;605560.0;2027-06-01;actif
324;2025-07-01;Mukendi27;Jean27;1487615.0;10.0%;15 mois;185951.0;1673566.0;343312.0;1330254.0;2027-06-01;actif
406;2025-07-01;Mukendi27;Jean27;1963880.0;10.0%;17 mois;278216.0;2242096.0;543154.0;1698942.0;2027-06-01;actif
311;2025-07-01;Mukendi28;Jean28;787024.0;10.0%;18 mois;118053.0;905077.0;241823.0;663254.0;2027-06-01;actif
458;2025-07-01;Mukendi28;Jean28;1720618.0;10.0%;7 mois;100369.0;1820987.0;718530.0;1102457.0;2027-06-01;actif
292;2025-07-01;Mukendi30;Jean30;621797.0;10.0%;7 mois;36271.0;658068.0;82573.0;575495.0;2026-01-15;en_retard
428;2025-07-01;Mukendi30;Jean30;493921.0;10.0%;17 mois;69972.0;563893.0;281312.0;282581.0;2027-06-01;actif
455;2025-07-01;Mukendi30;Jean30;1161907.0;10.0%;6 mois;58095.0;1220002.0;379481.0;840521.0;2027-06-01;actif
219;2025-07-01;Mukendi31;Jean31;241241.0;10.0%;6 mois;12062.0;253303.0;92566.0;160737.0;2026-01-15;en_retard
395;2025-07-01;Mukendi31;Jean31;1534941.0;10.0%;6 mois;76747.0;1611688.0;90582.0;1521106.0;2027-06-01;actif
343;2025-07-01;Mukendi32;Jean32;331600.0;10.0%;3 mois;8290.0;339890.0;18807.0;321083.0;2027-06-01;actif
366;2025-07-01;Mukendi32;Jean32;1110311.0;10.0%;5 mois;46262.0;1156573.0;291345.0;865228.0;2027-06-01;actif
94;2025-07-01;Mukendi33;Jean33;424632.0;10.0%;4 mois;14154.0;438786.0;52973.0;385813.0;2026-01-15;en_retard
141;2025-07-01;Mukendi33;Jean33;754995.0;10.0%;5 mois;31458.0;786453.0;249484.0;536969.0;2026-01-15;en_retard
192;2025-07-01;Mukendi33;Jean33;437441.0;10.0%;3 mois;10936.0;448377.0;199871.0;248506.0;2026-01-15;en_retard
228;2025-07-01;Mukendi33;Jean33;475410.0;10.0%;3 mois;11885.0;487295.0;163200.0;324095.0;2026-01-15;en_retard
284;2025-07-01;Mukendi33;Jean33;480308.0;10.0%;4 mois;16010.0;496318.0;120420.0;375898.0;2026-01-15;en_retard
299;2025-07-01;Mukendi33;Jean33;110802.0;10.0%;18 mois;16620.0;127422.0;59198.0;68224.0;2026-01-15;en_retard
305;2025-07-01;Mukendi33;Jean33;244859.0;10.0%;17 mois;34688.0;279547.0;25496.0;254051.0;2027-06-01;actif
396;2025-07-01;Mukendi33;Jean33;838441.0;10.0%;8 mois;55896.0;894337.0;58114.0;836223.0;2027-06-01;actif
432;2025-07-01;Mukendi33;Jean33;80126.0;10.0%;8 mois;5341.0;85467.0;41462.0;44005.0;2027-06-01;actif
2;2025-07-01;Mukendi34;Jean34;1923323.0;10.0%;13 mois;208359.0;2131682.0;1020516.0;1111166.0;2026-01-15;en_retard
31;2025-07-01;Mukendi34;Jean34;1513021.0;10.0%;8 mois;100868.0;1613889.0;619531.0;994358.0;2026-01-15;en_retard
48;2025-07-01;Mukendi34;Jean34;657325.0;10.0%;6 mois;32866.0;690191.0;333915.0;356276.0;2026-01-15;en_retard
80;2025-07-01;Mukendi34;Jean34;575748.0;10.0%;4 mois;19191.0;594939.0;254438.0;340501.0;2026-01-15;en_retard
120;2025-07-01;Mukendi34;Jean34;1917145.0;10.0%;12 mois;191714.0;2108859.0;13775.0;2095084.0;2026-01-15;en_retard
145;2025-07-01;Mukendi34;Jean34;1058567.0;10.0%;9 mois;79392.0;1137959.0;511559.0;626400.0;2026-01-15;en_retard
215;2025-07-01;Mukendi34;Jean34;874320.0;10.0%;16 mois;116576.0;990896.0;169586.0;821310.0;2026-01-15;en_retard
245;2025-07-01;Mukendi34;Jean34;305901.0;10.0%;11 mois;28040.0;333941.0;86300.0;247641.0;2026-01-15;en_retard
264;2025-07-01;Mukendi34;Jean34;1059769.0;10.0%;7 mois;61819.0;1121588.0;482992.0;638596.0;2026-01-15;en_retard
473;2025-07-01;Mukendi34;Jean34;1009950.0;10.0%;9 mois;75746.0;1085696.0;376009.0;709687.0;2027-06-01;actif
476;2025-07-01;Mukendi34;Jean34;283013.0;10.0%;17 mois;40093.0;323106.0;120213.0;202893.0;2027-06-01;actif
125;2025-07-01;Mukendi35;Jean35;605720.0;10.0%;14 mois;70667.0;676387.0;305217.0;371170.0;2026-01-15;en_retard
184;2025-07-01;Mukendi35;Jean35;1268509.0;10.0%;9 mois;95138.0;1363647.0;144818.0;1218829.0;2026-01-15;en_retard
213;2025-07-01;Mukendi36;Jean36;1022195.0;10.0%;17 mois;144810.0;1167005.0;94834.0;1072171.0;2026-01-15;en_retard
296;2025-07-01;Mukendi36;Jean36;1527136.0;10.0%;12 mois;152713.0;1679849.0;601969.0;1077880.0;2026-01-15;en_retard
405;2025-07-01;Mukendi36;Jean36;1183787.0;10.0%;16 mois;157838.0;1341625.0;228994.0;1112631.0;2027-06-01;actif
154;2025-07-01;Mukendi37;Jean37;973718.0;10.0%;4 mois;32457.0;1006175.0;484553.0;521622.0;2026-01-15;en_retard
157;2025-07-01;Mukendi37;Jean37;1871905.0;10.0%;12 mois;187190.0;2059095.0;14400.0;2044695.0;2026-01-15;en_retard
186;2025-07-01;Mukendi37;Jean37;1426217.0;10.0%;8 mois;95081.0;1521298.0;332918.0;1188380.0;2026-01-15;en_retard
236;2025-07-01;Mukendi37;Jean37;1840609.0;10.0%;4 mois;61353.0;1901962.0;699396.0;1202566.0;2026-01-15;en_retard
328;2025-07-01;Mukendi37;Jean37;1435968.0;10.0%;7 mois;83764.0;1519732.0;474978.0;1044754.0;2027-06-01;actif
51;2025-07-01;Mukendi38;Jean38;154085.0;10.0%;3 mois;3852.0;157937.0;24371.0;133566.0;2026-01-15;en_retard
270;2025-07-01;Mukendi38;Jean38;638167.0;10.0%;3 mois;15954.0;654121.0;177813.0;476308.0;2026-01-15;en_retard
411;2025-07-01;Mukendi38;Jean38;1518122.0;10.0%;13 mois;164463.0;1682585.0;410339.0;1272246.0;2027-06-01;actif
429;2025-07-01;Mukendi38;Jean38;1604097.0;10.0%;10 mois;133674.0;1737771.0;75532.0;1662239.0;2027-06-01;actif
36;2025-07-01;Mukendi39;Jean39;686638.0;10.0%;3 mois;17165.0;703803.0;48.0;703755.0;2026-01-15;en_retard
73;2025-07-01;Mukendi39;Jean39;828879.0;10.0%;5 mois;34536.0;863415.0;130402.0;733013.0;2026-01-15;en_retard
76;2025-07-01;Mukendi39;Jean39;1520791.0;10.0%;6 mois;76039.0;1596830.0;131939.0;1464891.0;2026-01-15;en_retard
85;2025-07-01;Mukendi39;Jean39;992426.0;10.0%;12 mois;99242.0;1091668.0;276141.0;815527.0;2026-01-15;en_retard
281;2025-07-01;Mukendi39;Jean39;448902.0;10.0%;13 mois;48631.0;497533.0;242125.0;255408.0;2026-01-15;en_retard
373;2025-07-01;Mukendi39;Jean39;1806604.0;10.0%;18 mois;270990.0;2077594.0;789327.0;1288267.0;2027-06-01;actif
74;2025-07-01;Mukendi40;Jean40;1098406.0;10.0%;5 mois;45766.0;1144172.0;354861.0;789311.0;2026-01-15;en_retard
174;2025-07-01;Mukendi40;Jean40;88529.0;10.0%;14 mois;10328.0;98857.0;44847.0;54010.0;2026-01-15;en_retard
317;2025-07-01;Mukendi40;Jean40;1061612.0;10.0%;15 mois;132701.0;1194313.0;69268.0;1125045.0;2027-06-01;actif
446;2025-07-01;Mukendi40;Jean40;82779.0;10.0%;18 mois;12416.0;95195.0;5290.0;89905.0;2027-06-01;actif
43;2025-07-01;Mukendi41;Jean41;1549333.0;10.0%;15 mois;193666.0;1742999.0;868668.0;874331.0;2026-01-15;en_retard
