ID;Date;Nom;Prénom;Type;Montant FC;Description;Annulé
360;2025-12-28;Mukendi95;Jean95;ordinaire;73684.0;;Non
339;2025-12-28;Mukendi98;Jean98;solidarite;38243.0;;Non
497;2025-12-28;Mukendi10;Jean101;ordinaire;65930.0;;Non
967;2025-12-28;Mukendi11;Jean116;solidarite;36629.0;;Non
463;2025-12-27;Mukendi41;Jean41;urgence;52505.0;;Non
170;2025-12-27;Mukendi42;Jean42;urgence;41319.0;;Non
775;2025-12-27;Mukendi66;Jean66;solidarite;42288.0;;Non
344;2025-12-27;Mukendi84;Jean84;urgence;17750.0;;Non
1021;2025-12-26;Mukendi64;Jean64;ordinaire;20192.0;;Non
386;2025-12-25;Mukendi46;Jean46;ordinaire;18675.0;;Non
767;2025-12-24;Mukendi0;Jean0;solidarite;87154.0;;Non
106;2025-12-24;Mukendi99;Jean99;urgence;55921.0;;Non
27;2025-12-24;Mukendi11;Jean116;solidarite;38388.0;;Non
72;2025-12-24;Mukendi13;Jean133;urgence;71575.0;;Non
250;2025-12-24;Mukendi13;Jean138;urgence;55935.0;;Non
1119;2025-12-24;Mukendi14;Jean144;ordinaire;84574.0;;Non
823;2025-12-23;Mukendi44;Jean44;solidarite;50595.0;;Non
481;2025-12-23;Mukendi73;Jean73;ordinaire;93392.0;;Non
415;2025-12-23;Mukendi74;Jean74;ordinaire;40315.0;;Non
977;2025-12-23;Mukendi86;Jean86;urgence;69039.0;;Non
810;2025-12-23;Mukendi91;Jean91;ordinaire;78537.0;;Non
7;2025-12-23;Mukendi10;Jean108;urgence;28760.0;;Non
911;2025-12-23;Mukendi14;Jean146;solidarite;25892.0;;Non
382;2025-12-22;Mukendi17;Jean17;ordinaire;46193.0;;Non
401;2025-12-22;Mukendi10;Jean103;urgence;48619.0;;Non
242;2025-12-22;Mukendi11;Jean116;urgence;49311.0;;Non
755;2025-12-21;Mukendi9;Jean9;urgence;73465.0;;Non
1014;2025-12-21;Mukendi45;Jean45;urgence;67046.0;;Non
1029;2025-12-21;Mukendi57;Jean57;urgence;84071.0;;Non
905;2025-12-21;Mukendi70;Jean70;urgence;35229.0;;Non
762;2025-12-20;Mukendi74;Jean74;solidarite;74899.0;;Non
1061;2025-12-20;Mukendi13;Jean136;urgence;1773.0;;Non
522;2025-12-19;Mukendi29;Jean29;ordinaire;90167.0;;Non
1077;2025-12-19;Mukendi64;Jean64;ordinaire;13871.0;;Non
465;2025-12-19;Mukendi13;Jean130;solidarite;70774.0;;Non
642;2025-12-19;Mukendi13;Jean132;urgence;74137.0;;Non
116;2025-12-18;Mukendi20;Jean20;ordinaire;62644.0;;Non
146;2025-12-18;Mukendi49;Jean49;ordinaire;42359.0;;Non
843;2025-12-18;Mukendi52;Jean52;solidarite;25901.0;;Non
349;2025-12-17;Mukendi25;Jean25;urgence;67543.0;;Non
130;2025-12-17;Mukendi39;Jean39;ordinaire;58080.0;;Non
1132;2025-12-17;Mukendi10;Jean107;ordinaire;49546.0;;Non
385;2025-12-16;Mukendi44;Jean44;solidarite;90742.0;;Non
147;2025-12-16;Mukendi47;Jean47;ordinaire;26105.0;;Non
420;2025-12-16;Mukendi79;Jean79;urgence;53187.0;;Non
368;2025-12-16;Mukendi12;Jean120;ordinaire;92235.0;;Non
571;2025-12-16;Mukendi12;Jean125;urgence;95838.0;;Non
564;2025-12-16;Mukendi12;Jean127;ordinaire;62080.0;;Non
697;2025-12-15;Mukendi0;Jean0;ordinaire;97039.0;;Non
648;2025-12-15;Mukendi24;Jean24;urgence;58431.0;;Non
502;2025-12-15;Mukendi28;Jean28;ordinaire;44343.0;;Non
334;2025-12-15;Mukendi44;Jean44;ordinaire;6130.0;;Non
879;2025-12-15;Mukendi58;Jean58;solidarite;18614.0;;Non
144;2025-12-15;Mukendi14;Jean140;solidarite;44357.0;;Non
633;2025-12-14;Mukendi64;Jean64;ordinaire;87332.0;;Non
264;2025-12-14;Mukendi67;Jean67;ordinaire;7868.0;;Non
549;2025-12-14;Mukendi97;Jean97;solidarite;69742.0;;Non
394;2025-12-14;Mukendi13;Jean132;ordinaire;35959.0;;Non
953;2025-12-14;Mukendi13;Jean133;solidarite;27433.0;;Non
1152;2025-12-13;Mukendi20;Jean20;ordinaire;80826.0;;Non
734;2025-12-13;Mukendi12;Jean128;solidarite;55451.0;;Non
281;2025-12-12;Mukendi11;Jean110;urgence;13656.0;;Non
19;2025-12-11;Mukendi25;Jean25;solidarite;8944.0;;Non
691;2025-12-11;Mukendi33;Jean33;ordinaire;33725.0;;Non
445;2025-12-11;Mukendi40;Jean40;urgence;43917.0;;Non
712;2025-12-11;Mukendi11;Jean113;ordinaire;2217.0;;Non
246;2025-12-10;Mukendi16;Jean16;solidarite;84283.0;;Non
214;2025-12-10;Mukendi25;Jean25;ordinaire;59153.0;;Non
43;2025-12-10;Mukendi40;Jean40;urgence;58433.0;;Non
98;2025-12-10;Mukendi70;Jean70;ordinaire;58654.0;;Non
1025;2025-12-10;Mukendi99;Jean99;urgence;32142.0;;Non
76;2025-12-10;Mukendi10;Jean104;solidarite;43753.0;;Non
695;2025-12-09;Mukendi23;Jean23;urgence;53802.0;;Non
915;2025-12-09;Mukendi24;Jean24;ordinaire;62706.0;;Non
978;2025-12-08;Mukendi24;Jean24;urgence;57734.0;;Non
1146;2025-12-08;Mukendi35;Jean35;ordinaire;87413.0;;Non
718;2025-12-07;Mukendi42;Jean42;solidarite;58684.0;;Non
624;2025-12-07;Mukendi76;Jean76;urgence;43030.0;;Non
656;2025-12-07;Mukendi10;Jean109;ordinaire;51965.0;;Non
547;2025-12-06;Mukendi15;Jean15;urgence;73970.0;;Non
408;2025-12-06;Mukendi63;Jean63;ordinaire;15869.0;;Non
53;2025-12-05;Mukendi2;Jean2;ordinaire;15663.0;;Non
566;2025-12-05;Mukendi11;Jean11;ordinaire;74731.0;;Non
